productid,date,saleprice
7676,1/20/00,64.77
9126,1/20/00,188.33
9517,1/20/00,65.18
12213,1/20/00,28.71
14827,1/20/00,179.34
16199,1/20/00,129.1
20244,1/20/00,176.7
20591,1/20/00,93.63
22130,1/20/00,473.7
23295,1/20/00,0.55
24592,1/20/00,196.43
163,1/21/00,79.04
780,1/21/00,157.04
3446,1/21/00,111.11
3621,1/21/00,31.55
6683,1/21/00,170.07
6978,1/21/00,105.03
7947,1/21/00,189.48
8480,1/21/00,167.95
11217,1/21/00,3.07
11220,1/21/00,488.2
12441,1/21/00,43.69
17940,1/21/00,19.16
23641,1/21/00,127.02
1047,1/22/00,5.99
1952,1/22/00,288.53
2169,1/22/00,478.93
2981,1/22/00,50.12
3427,1/22/00,19.57
5476,1/22/00,265.29
6837,1/22/00,24.02
8184,1/22/00,221.18
11682,1/22/00,419.9
14537,1/22/00,352.29
15085,1/22/00,240.48
20609,1/22/00,160.67
22148,1/22/00,67.53
23228,1/22/00,298.63
73,1/23/00,35.64
824,1/23/00,188.56
1901,1/23/00,304.78
3875,1/23/00,230.28
4477,1/23/00,225.01
5609,1/23/00,1
9074,1/23/00,85.21
12378,1/23/00,43.5
13139,1/23/00,116.89
15280,1/23/00,235.46
18471,1/23/00,433.66
18722,1/23/00,138.69
25231,1/23/00,2012.96
981,1/24/00,220.42
1135,1/24/00,370.72
1485,1/24/00,53.8
1863,1/24/00,139.32
3317,1/24/00,112.51
4010,1/24/00,195.53
5298,1/24/00,136.74
9558,1/24/00,410.01
18906,1/24/00,68.68
19948,1/24/00,226.92
1883,1/25/00,312.83
3968,1/25/00,122.27
5343,1/25/00,326.48
5494,1/25/00,169.82
8768,1/25/00,358.53
8888,1/25/00,92.95
11618,1/25/00,143.72
13900,1/25/00,149.04
13972,1/25/00,372.15
14959,1/25/00,260.37
15565,1/25/00,255.87
16634,1/25/00,191.12
18389,1/25/00,294.42
20775,1/25/00,321.6
25026,1/25/00,1287.14
657,1/26/00,253.72
1824,1/26/00,7.61
1998,1/26/00,246.49
7870,1/26/00,221.96
15926,1/26/00,88.2
19299,1/26/00,93.52
19445,1/26/00,21.03
20420,1/26/00,215.08
20646,1/26/00,80.65
21140,1/26/00,92.9
598,1/27/00,129.69
2084,1/27/00,3.71
2573,1/27/00,63.24
3601,1/27/00,172.32
3748,1/27/00,198.24
3756,1/27/00,190.58
4439,1/27/00,39.41
5861,1/27/00,9.59
9388,1/27/00,164.65
17778,1/27/00,365.65
23240,1/27/00,101.53
23793,1/27/00,27.55
1148,1/28/00,287.23
3321,1/28/00,451.68
4294,1/28/00,128.81
7481,1/28/00,222.66
9191,1/28/00,36.43
10465,1/28/00,178
11250,1/28/00,251.68
11346,1/28/00,69.59
15339,1/28/00,329.31
16973,1/28/00,158.34
17176,1/28/00,134.99
18829,1/28/00,198.54
19660,1/28/00,51.45
23978,1/28/00,66.47
25292,1/28/00,3122.07
1550,1/29/00,88.77
4729,1/29/00,122.02
7177,1/29/00,352.94
7334,1/29/00,33.08
11338,1/29/00,125.11
14443,1/29/00,37.94
15244,1/29/00,34.03
16953,1/29/00,188.09
2028,1/30/00,28.19
5097,1/30/00,131.8
8762,1/30/00,343.27
10424,1/30/00,98.35
12356,1/30/00,90.22
14776,1/30/00,28.46
17417,1/30/00,324.6
20142,1/30/00,37.92
20225,1/30/00,50.93
20893,1/30/00,27.65
21391,1/30/00,87.72
21680,1/30/00,97.86
23139,1/30/00,66.36
1253,1/31/00,142.65
1813,1/31/00,415.25
3549,1/31/00,206.16
3602,1/31/00,103.83
4415,1/31/00,137.51
5099,1/31/00,210.11
5432,1/31/00,78.51
9799,1/31/00,493.17
10214,1/31/00,53.53
11958,1/31/00,366.9
15332,1/31/00,1.06
17868,1/31/00,325.22
18255,1/31/00,140.02
19230,1/31/00,155.25
19375,1/31/00,174.39
22726,1/31/00,405.38
24724,1/31/00,407.63
1099,2/1/00,480.17
1564,2/1/00,16.2
4189,2/1/00,489.7
6025,2/1/00,109.47
7210,2/1/00,214.6
10221,2/1/00,328.31
10745,2/1/00,208.75
18539,2/1/00,388.5
20016,2/1/00,148.75
21747,2/1/00,28.46
22181,2/1/00,411.9
22345,2/1/00,401.46
464,2/2/00,285.13
3351,2/2/00,6.64
3675,2/2/00,278.62
8533,2/2/00,296.81
14993,2/2/00,46.14
15438,2/2/00,54.8
18537,2/2/00,232.74
21509,2/2/00,39.15
21790,2/2/00,22.99
22298,2/2/00,70.45
24514,2/2/00,40.04
608,2/3/00,235.98
3085,2/3/00,356.28
4020,2/3/00,42.86
5542,2/3/00,221.94
7046,2/3/00,198.34
9563,2/3/00,52.18
10456,2/3/00,265.95
14930,2/3/00,313.95
16240,2/3/00,141.57
17096,2/3/00,195.81
18822,2/3/00,105.08
20367,2/3/00,14.36
22931,2/3/00,109.15
1031,2/4/00,402.59
5721,2/4/00,54.6
5796,2/4/00,426.86
6070,2/4/00,259.06
8595,2/4/00,184.19
14589,2/4/00,387.6
23168,2/4/00,338.16
24251,2/4/00,188.54
24401,2/4/00,169.85
1406,2/5/00,90.13
1852,2/5/00,136.64
2611,2/5/00,49.13
3443,2/5/00,106.07
3570,2/5/00,81.98
5832,2/5/00,235.28
10676,2/5/00,318.36
10702,2/5/00,78.52
11103,2/5/00,177.7
14692,2/5/00,163.18
18045,2/5/00,26.59
23812,2/5/00,135.15
435,2/6/00,53.95
631,2/6/00,221.07
1212,2/6/00,104.51
3924,2/6/00,61.03
5886,2/6/00,173.1
6846,2/6/00,167.13
8293,2/6/00,69.32
9030,2/6/00,387.93
13018,2/6/00,394.51
15004,2/6/00,169.45
17336,2/6/00,262.56
17481,2/6/00,3.58
20192,2/6/00,249.95
265,2/7/00,379.88
334,2/7/00,119.4
399,2/7/00,99.78
4504,2/7/00,56.04
6090,2/7/00,208.07
8023,2/7/00,48.41
9028,2/7/00,5.26
9229,2/7/00,95.28
20803,2/7/00,260.56
21028,2/7/00,81.4
1488,2/8/00,54.65
3499,2/8/00,207.48
7974,2/8/00,106.54
8412,2/8/00,206.52
8784,2/8/00,200.74
9454,2/8/00,350.67
13591,2/8/00,195.39
16201,2/8/00,153.89
20809,2/8/00,37.12
21677,2/8/00,41.94
22505,2/8/00,52.1
89,2/9/00,433.81
389,2/9/00,106.96
2053,2/9/00,293.94
2301,2/9/00,10.43
3346,2/9/00,247.06
4475,2/9/00,185.1
5602,2/9/00,293.97
6784,2/9/00,136.52
8576,2/9/00,36.37
9602,2/9/00,172.23
18093,2/9/00,210.96
1038,2/10/00,167.99
1156,2/10/00,130.36
1822,2/10/00,246.25
3083,2/10/00,196.4
8951,2/10/00,124.55
11128,2/10/00,369.29
14172,2/10/00,101.41
16345,2/10/00,190.83
17147,2/10/00,139.21
17844,2/10/00,315.14
21975,2/10/00,250.65
24419,2/10/00,45
4016,2/11/00,302.93
5023,2/11/00,259.95
9423,2/11/00,46.22
19327,2/11/00,337.67
19955,2/11/00,47.53
20788,2/11/00,33.54
22184,2/11/00,341.62
23146,2/11/00,88.9
23891,2/11/00,15.86
869,2/12/00,55.38
1829,2/12/00,111.3
2080,2/12/00,483.59
3658,2/12/00,58.04
4307,2/12/00,236.06
10497,2/12/00,178.46
11324,2/12/00,163.46
19750,2/12/00,106.93
24820,2/12/00,85.83
399,2/13/00,127.95
1064,2/13/00,26.43
5006,2/13/00,166.28
6399,2/13/00,25.12
9871,2/13/00,79.42
10252,2/13/00,62.8
10320,2/13/00,317.04
12595,2/13/00,282.25
13402,2/13/00,168.95
13879,2/13/00,48.29
18381,2/13/00,160.78
19120,2/13/00,8.66
20652,2/13/00,355.83
21055,2/13/00,393.27
23251,2/13/00,386.33
23657,2/13/00,94.18
23672,2/13/00,310.96
190,2/14/00,17.7
1233,2/14/00,28.58
2661,2/14/00,64.1
3443,2/14/00,96.86
8704,2/14/00,331.75
9070,2/14/00,415.22
9866,2/14/00,66.17
17868,2/14/00,248.21
20074,2/14/00,33.69
432,2/15/00,295.61
5668,2/15/00,233.09
6490,2/15/00,236.68
7558,2/15/00,60.7
10457,2/15/00,62.15
11387,2/15/00,46.44
11922,2/15/00,1.98
14512,2/15/00,390.03
18841,2/15/00,167.36
20345,2/15/00,187.69
24195,2/15/00,116.55
24682,2/15/00,203.77
252,2/16/00,352.39
4383,2/16/00,168.13
7855,2/16/00,279.13
8260,2/16/00,47.8
8588,2/16/00,71.12
8897,2/16/00,96.14
11751,2/16/00,99.8
12632,2/16/00,87.45
12642,2/16/00,48.91
13568,2/16/00,289.26
13681,2/16/00,44.24
13861,2/16/00,63.11
13953,2/16/00,7.37
18482,2/16/00,121.01
18771,2/16/00,204.3
25139,2/16/00,4857.8
33,2/17/00,258.46
358,2/17/00,221.35
1281,2/17/00,9.51
6429,2/17/00,171.55
6594,2/17/00,45.47
6951,2/17/00,146.43
6976,2/17/00,272.89
10028,2/17/00,290.51
15720,2/17/00,146.64
17019,2/17/00,344.41
21921,2/17/00,236.11
24747,2/17/00,99.87
3467,2/18/00,58.52
3633,2/18/00,2.37
5119,2/18/00,239.49
6971,2/18/00,168.59
7415,2/18/00,202.67
7871,2/18/00,259.22
9981,2/18/00,224.92
11892,2/18/00,243.73
11964,2/18/00,332.38
15335,2/18/00,99.99
17082,2/18/00,141.87
22986,2/18/00,228.07
24038,2/18/00,236.06
137,2/19/00,130.42
264,2/19/00,53.87
439,2/19/00,117.64
2436,2/19/00,252.86
2880,2/19/00,76.05
3656,2/19/00,206.18
3781,2/19/00,47.79
6379,2/19/00,37.7
7698,2/19/00,176.4
8449,2/19/00,10.89
9853,2/19/00,247.28
12247,2/19/00,197.71
12573,2/19/00,371.59
15741,2/19/00,148.25
16347,2/19/00,353.3
18711,2/19/00,332.68
20768,2/19/00,23.11
20819,2/19/00,264.47
24766,2/19/00,51.39
263,2/20/00,274.43
684,2/20/00,78.37
1318,2/20/00,156.09
3971,2/20/00,335.72
4236,2/20/00,387.89
4556,2/20/00,65.11
6732,2/20/00,304.93
8849,2/20/00,160.53
11305,2/20/00,36.63
13550,2/20/00,436.98
14033,2/20/00,50.28
14728,2/20/00,82.24
18470,2/20/00,134.5
18828,2/20/00,223.16
22320,2/20/00,34.93
22847,2/20/00,292.14
23091,2/20/00,101.28
24563,2/20/00,193.43
140,2/21/00,389.53
312,2/21/00,65.93
1876,2/21/00,258.94
4715,2/21/00,383.19
5221,2/21/00,426.24
7907,2/21/00,69.14
10189,2/21/00,347.94
10594,2/21/00,150.11
11019,2/21/00,329.91
11387,2/21/00,46.44
11735,2/21/00,233.03
12017,2/21/00,134.07
17200,2/21/00,114.75
17227,2/21/00,259.18
21321,2/21/00,91.73
22831,2/21/00,60.4
24501,2/21/00,425.56
908,2/22/00,13.29
1727,2/22/00,103.96
4752,2/22/00,436.19
7263,2/22/00,30.44
8765,2/22/00,71.09
9086,2/22/00,113.2
9724,2/22/00,264.92
22181,2/22/00,411.9
23303,2/22/00,56.4
24729,2/22/00,287.67
778,2/23/00,4.62
5236,2/23/00,171.61
6353,2/23/00,155.45
6527,2/23/00,49.38
9323,2/23/00,310.27
9627,2/23/00,207.05
9860,2/23/00,229.07
13296,2/23/00,274.29
14001,2/23/00,48.97
15101,2/23/00,54.12
17371,2/23/00,44.72
18180,2/23/00,334.61
20041,2/23/00,138.51
22709,2/23/00,114.12
598,2/24/00,133.25
2504,2/24/00,98.8
4201,2/24/00,116.19
4492,2/24/00,241.97
4710,2/24/00,179.64
4921,2/24/00,459.07
5614,2/24/00,189.63
7869,2/24/00,373.8
9243,2/24/00,20.68
9746,2/24/00,91.69
11346,2/24/00,69.21
13997,2/24/00,306.05
14067,2/24/00,12.14
16170,2/24/00,432.76
23384,2/24/00,29.33
887,2/25/00,30.8
1231,2/25/00,247.87
2185,2/25/00,48.39
4271,2/25/00,367.11
5095,2/25/00,485.26
6917,2/25/00,71.48
8175,2/25/00,87.95
8789,2/25/00,9.57
13213,2/25/00,159.46
14601,2/25/00,110.97
16173,2/25/00,354.21
18726,2/25/00,133.12
20179,2/25/00,80.86
21516,2/25/00,189.71
22460,2/25/00,44.99
419,2/26/00,227.75
610,2/26/00,87.97
936,2/26/00,205.93
988,2/26/00,417.12
1922,2/26/00,341.49
2227,2/26/00,141.95
2908,2/26/00,189.05
3356,2/26/00,125.35
4566,2/26/00,345.17
5701,2/26/00,110.76
5859,2/26/00,284.57
7281,2/26/00,44.62
8720,2/26/00,195.79
11930,2/26/00,431.39
12471,2/26/00,42.72
15389,2/26/00,228.11
18074,2/26/00,181.79
18587,2/26/00,370.57
18628,2/26/00,44.74
24858,2/26/00,47.24
885,2/27/00,68.66
960,2/27/00,298.49
3403,2/27/00,391.44
4264,2/27/00,155.71
7286,2/27/00,92.12
9524,2/27/00,360.68
12043,2/27/00,403.89
13273,2/27/00,81.33
13893,2/27/00,243.88
16850,2/27/00,245.44
17076,2/27/00,133.44
18213,2/27/00,418.26
20065,2/27/00,288.45
20116,2/27/00,304.61
20165,2/27/00,322.17
21366,2/27/00,85.57
23357,2/27/00,199.53
529,2/28/00,177.17
971,2/28/00,87.47
1828,2/28/00,125.22
2688,2/28/00,219.5
3080,2/28/00,127.96
8191,2/28/00,121.83
8628,2/28/00,83.87
8770,2/28/00,24.59
9749,2/28/00,485.02
9788,2/28/00,172.92
12326,2/28/00,235.62
12885,2/28/00,224.68
14205,2/28/00,28.16
17210,2/28/00,93.57
21988,2/28/00,326.68
23344,2/28/00,37.66
1902,2/29/00,457.75
3027,2/29/00,160.83
7091,2/29/00,157.84
7797,2/29/00,99.32
7966,2/29/00,86.99
9871,2/29/00,57.82
9985,2/29/00,39.56
10766,2/29/00,70.28
11203,2/29/00,56.18
11464,2/29/00,39.3
11698,2/29/00,93.27
18940,2/29/00,111.24
23701,2/29/00,298.83
24012,2/29/00,8.03
25162,2/29/00,4077.31
1180,3/1/00,180.77
1580,3/1/00,145.29
1618,3/1/00,114.05
2717,3/1/00,435.09
3313,3/1/00,71.28
3509,3/1/00,112.97
4348,3/1/00,29.23
7988,3/1/00,253.93
8783,3/1/00,353.21
8950,3/1/00,49.78
13385,3/1/00,155.43
15039,3/1/00,186.36
16783,3/1/00,107.97
17545,3/1/00,322.41
17763,3/1/00,82.19
19246,3/1/00,276.5
22001,3/1/00,70.24
2575,3/2/00,77.5
3798,3/2/00,25.17
4534,3/2/00,25.16
5396,3/2/00,385.87
6034,3/2/00,10.3
6351,3/2/00,81.76
7048,3/2/00,104.07
8342,3/2/00,30.53
8401,3/2/00,180.12
9931,3/2/00,41.24
10344,3/2/00,68.76
11132,3/2/00,238.53
12495,3/2/00,436.45
14631,3/2/00,255.58
17177,3/2/00,61.15
21616,3/2/00,20.06
22676,3/2/00,69.72
245,3/3/00,197.35
2757,3/3/00,77.81
4508,3/3/00,25.29
4838,3/3/00,58.81
6309,3/3/00,316.24
6901,3/3/00,4.84
7491,3/3/00,331.81
10451,3/3/00,50.76
14467,3/3/00,1.2
16229,3/3/00,141.66
18663,3/3/00,109.57
18945,3/3/00,209.69
20756,3/3/00,214.99
596,3/4/00,176.64
769,3/4/00,150.27
3771,3/4/00,138.3
4660,3/4/00,69.75
5901,3/4/00,13.13
7562,3/4/00,72.73
8669,3/4/00,195.44
9416,3/4/00,360.11
11717,3/4/00,200.43
15093,3/4/00,6.89
16818,3/4/00,118.76
18751,3/4/00,402.46
20638,3/4/00,256.85
20789,3/4/00,38.47
21921,3/4/00,221.07
23927,3/4/00,210.95
3575,3/5/00,248.36
4188,3/5/00,330.55
8956,3/5/00,220.65
10048,3/5/00,433.05
11041,3/5/00,354.75
11155,3/5/00,163.89
12805,3/5/00,316
19814,3/5/00,261.59
74,3/6/00,122.83
711,3/6/00,83.99
1097,3/6/00,98.27
1766,3/6/00,67.14
2684,3/6/00,369.89
2993,3/6/00,339.85
5230,3/6/00,154.24
5277,3/6/00,44.63
6426,3/6/00,378.17
6887,3/6/00,209.26
11433,3/6/00,308.06
12588,3/6/00,327.99
17854,3/6/00,228.41
19083,3/6/00,245.74
19287,3/6/00,333.43
21162,3/6/00,410.36
22200,3/6/00,92.64
695,3/7/00,200.13
2529,3/7/00,177
4643,3/7/00,330.87
5286,3/7/00,82.7
19301,3/7/00,124.53
22498,3/7/00,60.8
23160,3/7/00,259.17
24080,3/7/00,76.75
321,3/8/00,222.34
343,3/8/00,113.68
1870,3/8/00,158.92
2830,3/8/00,228.39
2847,3/8/00,75.96
2957,3/8/00,49.33
3618,3/8/00,40.04
4321,3/8/00,9.56
4420,3/8/00,306.09
4423,3/8/00,360.67
7873,3/8/00,79.39
10680,3/8/00,188.67
10889,3/8/00,173.74
11846,3/8/00,88.54
20861,3/8/00,260.15
21540,3/8/00,479.05
21684,3/8/00,41.98
22351,3/8/00,276.36
2367,3/9/00,87.7
3387,3/9/00,238.39
4020,3/9/00,72.55
4246,3/9/00,11.93
4706,3/9/00,162.42
5173,3/9/00,176.68
5310,3/9/00,5.77
5790,3/9/00,60.69
6175,3/9/00,168.97
9179,3/9/00,117.86
9320,3/9/00,104.72
9782,3/9/00,5.81
13164,3/9/00,2.82
16340,3/9/00,171.73
18660,3/9/00,121.06
2055,3/10/00,125.55
3914,3/10/00,295.89
4211,3/10/00,71.9
4343,3/10/00,41.09
5247,3/10/00,322.44
9317,3/10/00,99.73
15823,3/10/00,243.37
19224,3/10/00,245.23
21454,3/10/00,267.88
22761,3/10/00,142.91
2037,3/11/00,427.71
4053,3/11/00,35.88
4197,3/11/00,229.27
4809,3/11/00,91.65
4866,3/11/00,173.04
5571,3/11/00,118.05
8756,3/11/00,312.18
9157,3/11/00,181.34
11926,3/11/00,134.6
14589,3/11/00,451.63
16319,3/11/00,207.36
19437,3/11/00,436.32
20883,3/11/00,303.37
20988,3/11/00,364.53
22510,3/11/00,251.31
23906,3/11/00,53.54
16,3/12/00,418.52
382,3/12/00,74.4
1833,3/12/00,154.71
3765,3/12/00,154.22
3891,3/12/00,5.94
4974,3/12/00,234.93
5221,3/12/00,417.71
6274,3/12/00,204.07
8692,3/12/00,187.01
9314,3/12/00,260.98
12871,3/12/00,327.02
13987,3/12/00,345.32
15049,3/12/00,7.96
20219,3/12/00,85.93
22355,3/12/00,442.64
23126,3/12/00,421.61
23664,3/12/00,98.99
819,3/13/00,33.05
850,3/13/00,198.94
1540,3/13/00,125.48
5148,3/13/00,177.25
5325,3/13/00,56.3
6049,3/13/00,87.61
6647,3/13/00,142.35
9006,3/13/00,126.23
9618,3/13/00,145.4
9904,3/13/00,120.18
10005,3/13/00,102.58
11394,3/13/00,274.13
13411,3/13/00,365.91
21692,3/13/00,264.98
2212,3/14/00,208.94
3566,3/14/00,167.05
5455,3/14/00,188.04
5667,3/14/00,286.12
6409,3/14/00,11.87
7772,3/14/00,89.35
8820,3/14/00,199.02
15804,3/14/00,128.29
17515,3/14/00,472.16
19249,3/14/00,166.3
20956,3/14/00,54.65
22463,3/14/00,405.89
23634,3/14/00,59.35
24678,3/14/00,116.49
2262,3/15/00,118.24
2301,3/15/00,11.37
4417,3/15/00,79.68
9626,3/15/00,36.02
14784,3/15/00,66.83
17443,3/15/00,311.15
19352,3/15/00,81.82
20501,3/15/00,6.05
22297,3/15/00,177.21
567,3/16/00,47.45
4620,3/16/00,275.77
4677,3/16/00,280.21
4899,3/16/00,82.7
5231,3/16/00,494.51
9003,3/16/00,33.77
9730,3/16/00,113.09
9967,3/16/00,243.47
13388,3/16/00,43.06
17634,3/16/00,320.43
17990,3/16/00,228.2
21584,3/16/00,64.23
22067,3/16/00,219.63
22496,3/16/00,93.79
1192,3/17/00,441.12
2851,3/17/00,26.09
2886,3/17/00,310.46
3396,3/17/00,131.18
4042,3/17/00,199.37
6245,3/17/00,352.67
8117,3/17/00,377.58
10601,3/17/00,279.26
11716,3/17/00,170.86
15096,3/17/00,25.96
17498,3/17/00,395.39
18016,3/17/00,229.83
20174,3/17/00,284.83
21385,3/17/00,217.94
22155,3/17/00,25.47
24558,3/17/00,299.69
1100,3/18/00,336.75
4427,3/18/00,29.27
6973,3/18/00,253.85
10569,3/18/00,5.46
22801,3/18/00,265.31
25266,3/18/00,1227.99
996,3/19/00,85.56
4731,3/19/00,21.53
5405,3/19/00,420.23
6919,3/19/00,186.22
7259,3/19/00,375.41
9814,3/19/00,264.97
11845,3/19/00,245.52
13288,3/19/00,86.07
15300,3/19/00,61.09
22834,3/19/00,137.14
767,3/20/00,268.25
1355,3/20/00,313.06
2550,3/20/00,7.75
3312,3/20/00,179.69
4416,3/20/00,21.47
4542,3/20/00,183.56
6225,3/20/00,306.39
7132,3/20/00,21.85
